都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳の男性以上,85歳の女性以上,不詳者の男性,不詳者の女性,世帯数,備考
131105,151,東京都,目黒区,2017-04-01,上目黒一丁目,1877,890,987,68,49,35,34,9,22,14,17,28,34,39,67,110,90,126,117,120,117,82,74,62,68,42,43,29,42,27,49,34,39,28,37,17,46,20,42,0,0,1145,
131105,152,東京都,目黒区,2017-04-01,上目黒二丁目,4414,2102,2312,68,90,59,61,42,57,47,41,90,88,203,214,262,280,249,258,239,239,160,200,129,115,99,98,91,86,116,120,86,94,74,104,42,78,46,89,0,0,2763,
131105,153,東京都,目黒区,2017-04-01,上目黒三丁目,5279,2493,2786,120,117,101,87,60,86,79,74,118,116,195,199,261,276,251,259,233,284,226,227,175,185,159,150,108,124,131,157,90,103,72,112,58,97,56,133,0,0,2992,
131105,154,東京都,目黒区,2017-04-01,上目黒四丁目,3810,1857,1953,52,53,54,40,51,51,57,43,106,88,195,146,205,185,161,174,160,158,135,149,121,126,95,93,83,98,111,138,103,109,69,105,56,100,43,97,0,0,2324,
131105,155,東京都,目黒区,2017-04-01,上目黒五丁目,3865,1854,2011,95,72,83,74,86,73,64,64,89,96,132,139,164,180,162,172,183,207,156,181,124,127,102,97,94,92,118,111,76,84,50,78,34,80,42,84,0,0,2116,
131105,161,東京都,目黒区,2017-04-01,中目黒一丁目,3096,1438,1658,64,56,41,38,20,32,30,29,59,66,128,137,191,189,193,171,159,204,128,141,92,120,70,75,57,56,60,91,45,61,40,65,34,56,27,71,0,0,2016,
131105,162,東京都,目黒区,2017-04-01,中目黒二丁目,2229,1105,1124,36,51,47,58,48,44,47,50,79,85,132,136,128,106,102,101,110,118,120,107,101,81,62,56,27,35,22,27,25,23,9,15,5,18,5,13,0,0,1295,
131105,163,東京都,目黒区,2017-04-01,中目黒三丁目,2623,1227,1396,53,41,41,50,35,35,44,39,68,68,89,115,122,139,109,128,124,124,96,126,93,91,56,74,58,71,77,73,52,54,42,58,38,43,30,67,0,0,1530,
131105,164,東京都,目黒区,2017-04-01,中目黒四丁目,3073,1499,1574,105,107,39,55,40,45,38,43,82,79,183,165,222,204,168,129,102,107,91,90,87,90,68,64,53,70,68,82,53,70,44,59,39,47,17,68,0,0,1669,
131105,165,東京都,目黒区,2017-04-01,中目黒五丁目,3314,1632,1682,66,55,75,59,64,57,58,47,86,79,148,133,156,131,126,153,145,144,136,129,116,102,82,85,73,76,101,99,69,87,49,73,42,61,40,112,0,0,1810,
131105,171,東京都,目黒区,2017-04-01,三田一丁目,2244,1011,1233,39,37,25,23,31,32,44,32,42,47,47,72,86,98,104,115,89,127,112,114,96,119,76,90,59,74,52,67,45,52,33,44,22,49,9,41,0,0,1337,
131105,172,東京都,目黒区,2017-04-01,三田二丁目,3586,1689,1897,66,65,55,46,35,53,39,50,85,72,122,116,160,181,173,162,176,190,145,174,122,119,107,106,72,90,107,123,71,79,64,95,44,68,45,108,1,0,2079,
131105,181,東京都,目黒区,2017-04-01,目黒一丁目,3854,1829,2025,87,76,49,58,39,39,48,41,104,99,169,146,197,197,198,184,177,154,145,169,119,130,93,108,76,94,101,128,75,107,68,104,54,87,30,104,0,0,2298,
131105,182,東京都,目黒区,2017-04-01,目黒二丁目,2598,1191,1407,66,58,36,35,31,27,29,24,37,45,87,103,127,142,161,128,129,153,98,126,105,121,63,88,40,70,75,85,35,61,33,61,19,41,20,39,0,0,1547,
131105,183,東京都,目黒区,2017-04-01,目黒三丁目,3063,1483,1580,78,83,63,62,55,37,57,43,69,67,98,80,123,144,170,175,138,141,113,125,102,104,74,66,63,83,91,99,56,72,64,61,35,72,34,66,0,0,1618,
