Stem,Year,DBH,Comment
8385,2005,8.4,NA
8385,2014,8.2,shrunk
8386,1993,6.9,NA
8386,1996,7.1,NA
8386,1999,7.6,NA
8386,2002,7.9,NA
8386,2005,8,NA
8386,2014,8.9,NA
8387,1993,8.5,NA
8387,1996,9.2,NA
8387,1999,10.3,NA
8387,2002,10.4,NA
8387,2005,10.7,NA
8387,2014,12.7,NA
WF079,2014,6.5,bark-stripped
WF080,2014,5,NA
9207,2002,3,NA
9207,2005,3,NA
9207,2014,NA,dead
9388,1993,25.4,NA
9388,1996,26.8,NA
9388,1999,28.4,NA
9388,2002,29.3,NA
9388,2005,30.4,NA
9388,2014,30.8,NA
9389,1993,10,NA
9389,1996,NA,dead
9390,1993,8.7,NA
9390,1996,8.8,NA
9390,1999,8.7,NA
9390,2002,8.8,NA
9390,2005,8.7,NA
9390,2014,NA,cut
WF082,2014,4.6,NA
WF083,2014,3.5,bark-stripped
WF084,2014,3.1,bark-stripped
10483,1993,5.9,NA
10483,1996,6,NA
10483,1999,6.3,NA
10483,2002,6.6,NA
10483,2005,6.8,NA
10483,2014,8.3,wounded
10484,1993,15.3,NA
10484,1996,15.4,NA
10484,1999,15.5,NA
10484,2002,15.8,NA
10484,2005,16.1,NA
10484,2014,17.4,NA
10485,1993,10.3,NA
10485,1996,10.3,NA
10485,1999,10.4,NA
10485,2002,10.5,NA
10485,2005,10.6,NA
10485,2014,11,NA
10486,1993,26.6,NA
10486,1996,29.6,NA
10486,1999,32.6,NA
10486,2002,34.8,NA
10486,2005,36.4,NA
10486,2014,41,NA
10487,1993,12.4,NA
10487,1996,12.9,NA
10487,1999,13.3,NA
10487,2002,13.6,NA
10487,2005,13.9,NA
10487,2014,NA,cut
10488,1993,5.6,NA
10488,1996,5.6,NA
10488,1999,5.7,NA
10488,2002,5.8,NA
10488,2005,6,NA
10488,2014,7.3,NA
10489,1993,11.7,NA
10489,1996,11.7,NA
10489,1999,NA,dead
10490,1993,10.8,NA
10490,1996,11.8,NA
10490,1999,12.2,NA
10490,2002,12.5,NA
10490,2005,12.7,NA
10490,2014,NA,cut
11478,1993,42.3,NA
11478,1996,44,NA
11478,1999,45.2,NA
11478,2002,46.7,NA
11478,2005,48.2,NA
11478,2014,53.3,NA
11479,1993,9.2,NA
11479,1996,9.6,NA
11479,1999,10,NA
11479,2002,10.3,NA
11479,2005,10.8,NA
11479,2014,12.5,bark-stripped
11481,1993,5.4,NA
11481,1996,5.3,NA
11481,1999,5.4,NA
11481,2002,5.5,NA
11481,2005,5.5,NA
11481,2014,NA,cut
WF095,2014,3.2,bark-stripped
WF096,2014,3.2,NA
12461,1993,7.3,NA
12461,1996,7.3,NA
12461,1999,7.3,NA
12461,2002,7.3,NA
12461,2005,7.3,NA
12461,2014,7.3,NA
12462,1993,6.8,NA
12462,1996,6.9,NA
12462,1999,7,NA
12462,2002,7.3,NA
12462,2005,7.3,NA
12462,2014,NA,dead
12463,1993,3.5,NA
12463,1996,3.4,NA
12463,1999,3.4,NA
12463,2002,3.6,NA
12463,2005,3.6,NA
12463,2014,NA,dead
12464,1993,10.4,NA
12464,1996,11.4,NA
12464,1999,12.5,NA
12464,2002,13.2,NA
12464,2005,13.4,NA
12464,2014,NA,dead
12465,1993,5.3,NA
12465,1996,5.4,NA
12465,1999,5.5,NA
12465,2002,5.6,NA
12465,2005,5.5,NA
12465,2014,NA,dead
12466,1993,4.6,NA
12466,1996,NA,dead
12467,1993,4.2,NA
12467,1996,NA,dead
12468,1993,7.4,NA
12468,1996,7.5,NA
12468,1999,7.7,NA
12468,2002,8.1,NA
12468,2005,8.3,NA
12468,2014,9.9,NA
12469,1993,8.1,NA
12469,1996,8.4,NA
12469,1999,8.7,NA
12469,2002,8.8,NA
12469,2005,8.9,NA
12469,2014,NA,dead
12470,1993,6.9,NA
12470,1996,7,NA
12470,1999,6.9,NA
12470,2002,NA,dead
12471,1993,9.8,NA
12471,1996,9.9,NA
12471,1999,10.2,NA
12471,2002,10.2,NA
12471,2005,9.9,NA
12471,2014,NA,dead
12472,1993,16,NA
12472,1996,16.6,NA
12472,1999,17.1,NA
12472,2002,17.4,NA
12472,2005,17.4,NA
12472,2014,NA,dead
12473,1993,7,NA
12473,1996,7.2,NA
12473,1999,7.4,NA
12473,2002,7.8,NA
12473,2005,8.3,NA
12473,2014,9.4,NA
12474,1993,8.5,NA
12474,1996,8.3,NA
12474,1999,NA,dead
12475,1993,6.6,NA
12475,1996,6.8,NA
12475,1999,7.1,NA
12475,2002,7.4,NA
12475,2005,8,NA
12475,2014,10.3,NA
12476,1993,6,NA
12476,1996,6,NA
12476,1999,6,NA
12476,2002,NA,dead
12477,1993,3.8,NA
12477,1996,3.9,NA
12477,1999,4.1,NA
12477,2002,4.1,NA
12477,2005,4.1,NA
12477,2014,NA,dead
WF102,2014,3.2,bark-stripped
WF103,2014,3.1,NA
WF104,2014,3.5,bark-stripped
WF106,2014,3.2,NA
WF107,2014,3.2,NA
WF114,2014,3.6,bark-stripped
WF115,2014,3.4,bark-stripped
WG679,2014,3.1,NA
13210,2002,3.2,NA
13210,2005,3.3,NA
13210,2014,3.9,NA
13211,2002,3.1,NA
13211,2005,3.8,NA
13211,2014,5.5,bark-stripped
13212,2002,3.2,NA
13212,2005,4.1,NA
13212,2014,5,bark-stripped
13213,2002,4.1,NA
13213,2005,4.6,NA
13213,2014,5.7,NA
13254,2005,3.3,NA
13254,2014,4.8,NA
13255,2005,3.8,NA
13255,2014,5,NA
13449,1993,3.2,NA
13449,1996,3.3,NA
13449,1999,3.5,NA
13449,2002,3.6,NA
13449,2005,3.9,NA
13449,2014,4.3,NA
13450,1993,6.2,NA
13450,1996,6.3,NA
13450,1999,6.4,NA
13450,2002,6.4,NA
13450,2005,6.4,NA
13450,2014,NA,dead
13451,1993,8.5,NA
13451,1996,8.6,NA
13451,1999,8.5,NA
13451,2002,8.5,NA
13451,2005,8.5,NA
13451,2014,NA,dead
13452,1993,13.2,NA
13452,1996,13.6,NA
13452,1999,14,NA
13452,2002,14.3,NA
13452,2005,14.4,NA
13452,2014,14.8,NA
13453,1993,8.2,NA
13453,1996,8.3,NA
13453,1999,8.5,NA
13453,2002,8.5,NA
13453,2005,8.4,NA
13453,2014,NA,dead
13454,1993,3.7,NA
13454,1996,NA,dead
13455,1993,19.7,NA
13455,1996,21.1,NA
13455,1999,22.2,NA
13455,2002,22.4,NA
13455,2005,23,NA
13455,2014,24.2,bark-stripped
13457,1993,6.9,NA
13457,1996,6.9,NA
13457,1999,6.9,NA
13457,2002,NA,dead
13458,1993,3.6,NA
13458,1996,3.6,NA
13458,1999,NA,dead
13459,1993,24.2,NA
13459,1996,24.7,NA
13459,1999,24.9,NA
13459,2002,25.2,NA
13459,2005,25.4,NA
13459,2014,25.4,NA
13460,1993,15.1,NA
13460,1996,NA,dead
13607,1996,3.3,NA
13607,1999,3.5,NA
13607,2002,3.8,NA
13607,2005,4.1,NA
13607,2014,4.3,NA
WF125,2014,4.6,NA
WF129,2014,3,NA
WF130,2014,3.8,NA
WF132,2014,3.7,NA
WF135,2014,3,NA
WF136,2014,3.1,NA
WF137,2014,3.4,NA
14117,1999,3.3,NA
14117,2002,3.5,NA
14117,2005,3.8,NA
14117,2014,5.3,NA
14118,1999,3.2,NA
14118,2002,3.5,NA
14118,2005,4,NA
14118,2014,5.7,bark-stripped
14214,2002,3,NA
14214,2005,3.5,NA
14214,2014,5.8,bark-stripped
14215,2002,3,NA
14215,2005,3.1,NA
14215,2014,NA,dead
14256,2005,3.1,NA
14256,2014,3.7,NA
14257,2005,3.2,NA
14257,2014,4.7,NA
14258,2005,3.3,NA
14258,2014,3.7,NA
14437,1993,4.7,NA
14437,1996,4.8,NA
14437,1999,5,NA
14437,2002,5.2,NA
14437,2005,5.5,NA
14437,2014,5.8,NA
14438,1993,3.4,NA
14438,1996,NA,dead
14439,1993,12.1,NA
14439,1996,12.5,NA
14439,1999,13.1,NA
14439,2002,13.5,NA
14439,2005,13.8,NA
14439,2014,14.5,NA
14440,1993,7.3,NA
14440,1996,8.2,NA
14440,1999,10.2,NA
14440,2002,12.2,NA
14440,2005,14.5,NA
14440,2014,22.5,NA
14442,1996,3.1,NA
14442,1999,3.3,NA
14442,2002,NA,cut
14443,1993,6.1,NA
14443,1996,6.2,NA
14443,1999,6.4,NA
14443,2002,6.6,NA
14443,2005,6.9,NA
14443,2014,7.2,bark-stripped
14444,1993,13.4,NA
14444,1996,14.8,NA
14444,1999,16,NA
14444,2002,17.1,NA
14444,2005,NA,dead
14445,1993,12.1,NA
14445,1996,12.4,NA
14445,1999,12.3,NA
14445,2002,12.4,NA
14445,2005,12.4,NA
14445,2014,12.6,NA
14446,1993,14.3,NA
